date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:09:01	36/36	---M--	200	added ('OK')	text/plain	date:Sat,%2025%20Jun%202016%2022:05:04%20GMT	http://giftcardrebel.com/robots.txt		(from )
16:09:03	87442/87442	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jun%202016%2014:15:48%20GMT	http://giftcardrebel.com/	C:/MyWebsite/giftcardrebel.com/giftcardrebel.com/index.html	(from )
16:09:03	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Wed,%2010%20Dec%202014%2021:19:42%20GMT	http://giftcardrebel.com/favicon.ico	C:/MyWebsite/giftcardrebel.com/giftcardrebel.com/favicon.ico	(from http://giftcardrebel.com/)
16:09:04	12876/12876	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Jun%202016%2022:17:06%20GMT	http://giftcardrebel.com/favicon.png	C:/MyWebsite/giftcardrebel.com/giftcardrebel.com/favicon.png	(from http://giftcardrebel.com/)
16:09:04	343/343	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2030%20Jul%202016%2009:09:05%20GMT	http://giftcardrebel.com/resources/img/facebook.png	C:/MyWebsite/giftcardrebel.com/giftcardrebel.com/resources/img/facebook.png	(from http://giftcardrebel.com/)
16:09:04	12551/12551	---MCZ	200	added ('OK')	text/css	date:Mon,%2027%20Jun%202016%2009:15:18%20GMT	http://giftcardrebel.com/resources/styles.css?v=3	C:/MyWebsite/giftcardrebel.com/giftcardrebel.com/resources/styles30f4.css	(from http://giftcardrebel.com/)
16:09:05	41397/41397	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jun%202016%2014:17:06%20GMT	http://giftcardrebel.com/free-google-play-gift-cards.html	C:/MyWebsite/giftcardrebel.com/giftcardrebel.com/free-google-play-gift-cards.html	(from http://giftcardrebel.com/)
16:09:05	38683/38683	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jun%202016%2014:17:40%20GMT	http://giftcardrebel.com/free-steam-gift-cards.html	C:/MyWebsite/giftcardrebel.com/giftcardrebel.com/free-steam-gift-cards.html	(from http://giftcardrebel.com/)
16:09:05	38720/38720	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jun%202016%2014:17:22%20GMT	http://giftcardrebel.com/free-xbox-gift-cards.html	C:/MyWebsite/giftcardrebel.com/giftcardrebel.com/free-xbox-gift-cards.html	(from http://giftcardrebel.com/)
16:09:06	43921/43921	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jun%202016%2014:17:52%20GMT	http://giftcardrebel.com/free-microsoft-gift-cards.html	C:/MyWebsite/giftcardrebel.com/giftcardrebel.com/free-microsoft-gift-cards.html	(from http://giftcardrebel.com/)
16:09:07	40991/40991	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jun%202016%2014:18:06%20GMT	http://giftcardrebel.com/free-playstation-store-gift-cards.html	C:/MyWebsite/giftcardrebel.com/giftcardrebel.com/free-playstation-store-gift-cards.html	(from http://giftcardrebel.com/)
16:09:07	38701/38701	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jun%202016%2014:18:18%20GMT	http://giftcardrebel.com/free-itunes-gift-cards.html	C:/MyWebsite/giftcardrebel.com/giftcardrebel.com/free-itunes-gift-cards.html	(from http://giftcardrebel.com/)
16:09:08	40871/40871	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jun%202016%2014:18:28%20GMT	http://giftcardrebel.com/free-skype-credit-gift-cards.html	C:/MyWebsite/giftcardrebel.com/giftcardrebel.com/free-skype-credit-gift-cards.html	(from http://giftcardrebel.com/)
16:09:08	39984/39984	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jun%202016%2014:18:40%20GMT	http://giftcardrebel.com/free-windows-gift-cards.html	C:/MyWebsite/giftcardrebel.com/giftcardrebel.com/free-windows-gift-cards.html	(from http://giftcardrebel.com/)
16:09:09	41603/41603	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jun%202016%2014:18:52%20GMT	http://giftcardrebel.com/free-ebay-gift-cards.html	C:/MyWebsite/giftcardrebel.com/giftcardrebel.com/free-ebay-gift-cards.html	(from http://giftcardrebel.com/)
16:09:09	40859/40859	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jun%202016%2014:19:02%20GMT	http://giftcardrebel.com/free-paypal-cash-gift-cards.html	C:/MyWebsite/giftcardrebel.com/giftcardrebel.com/free-paypal-cash-gift-cards.html	(from http://giftcardrebel.com/)
16:09:10	52394/52394	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jun%202016%2014:19:14%20GMT	http://giftcardrebel.com/free-amazon-gift-cards.html	C:/MyWebsite/giftcardrebel.com/giftcardrebel.com/free-amazon-gift-cards.html	(from http://giftcardrebel.com/)
16:09:10	38622/38622	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jun%202016%2014:19:24%20GMT	http://giftcardrebel.com/free-facebook-gift-cards.html	C:/MyWebsite/giftcardrebel.com/giftcardrebel.com/free-facebook-gift-cards.html	(from http://giftcardrebel.com/)
16:09:11	38551/38551	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jun%202016%2014:19:38%20GMT	http://giftcardrebel.com/free-netflix-gift-cards.html	C:/MyWebsite/giftcardrebel.com/giftcardrebel.com/free-netflix-gift-cards.html	(from http://giftcardrebel.com/)
16:09:11	41819/41819	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jun%202016%2014:19:48%20GMT	http://giftcardrebel.com/free-spotify-gift-cards.html	C:/MyWebsite/giftcardrebel.com/giftcardrebel.com/free-spotify-gift-cards.html	(from http://giftcardrebel.com/)
16:09:11	95786/95786	---MC-	200	added ('OK')	text/javascript	date:Fri,%2016%20Oct%202015%2018:27:31%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js	C:/MyWebsite/giftcardrebel.com/ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js	(from http://giftcardrebel.com/)
16:09:15	39168/39168	---M--	200	added ('OK')	application/javascript	date:Mon,%2027%20Jun%202016%2009:00:18%20GMT	http://giftcardrebel.com/resources/plugins.js?v=3	C:/MyWebsite/giftcardrebel.com/giftcardrebel.com/resources/plugins30f4.js	(from http://giftcardrebel.com/)
16:09:15	27580/27580	---MC-	200	added ('OK')	text/javascript	date:Wed,%2001%20Jun%202016%2014:34:39%20GMT	https://www.google-analytics.com/analytics.js	C:/MyWebsite/giftcardrebel.com/www.google-analytics.com/analytics.js	(from http://giftcardrebel.com/)
